name	country	dob	pob	height	hometown	occupation	hobbies	start_career	club_name	coach	choreographer	former_coach	practice_on_ice_low_season	low_season_practice_place	practice_on_ice_high_season	high_season_practice_place	html	first_name	last_name
Greta MORKYTE	LTU	1999-02-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00034751.htm	Greta	MORKYTE
Ugne PECIUKAYTYTE	LTU	1999-02-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00014622.htm	Ugne	PECIUKAYTYTE
Beatrice ROZINSKAITE	LTU	1992-03-31	Kaunas	162	Kaunas	student	dancing	2000	Baltu Ainiai	Loreta Vitkauskiene	Resa Birbaliene	NA	30	Kaunas	23	Kaunas	http://www.isuresults.com/bios/isufs00010153.htm	Beatrice	ROZINSKAITE
Aida RYBALKO	LTU	1990-02-06	Kaunas	169	Kaunas	student	music	1994	Baltu Ainiai	Egle Kliucakiene	NA	Loreta Vitkauskiene	17	Kaunas	20	Kaunas	http://www.isuresults.com/bios/isufs00007057.htm	Aida	RYBALKO
Laura SABALIAUSKAITE	LTU	2000-04-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00034705.htm	Laura	SABALIAUSKAITE
Gintare VOSTRECOVAITE	LTU	1986-05-06	Kaunas	165	Kaunas	student	reading, music, dancing	1990	Piruetas Kaunas	Raimonda Kisieliene	Elena Maslennikova	NA	28	in Lithuania, Latvia, Switzerland	30	in Lithuania, Latvia	http://www.isuresults.com/bios/isufs00004358.htm	Gintare	VOSTRECOVAITE
Anna BERNAUER	LUX	1986-08-12	F�rth GER	170	Sandweiler LUX	student	horseback riding, jazz	1992	Club Hiversports Luxembourg	Nicolas Osseland	Nicolas Osseland, Anna Bernauer	Patrick Gueppe, Evelyn Gutzeit	NA	NA	18	Kockelscheuer	http://www.isuresults.com/bios/isufs00005226.htm	Anna	BERNAUER
Jil KLINCKER	LUX	1988-09-15	Luxembourg	165	Luxembourg	student	music	1996	Club Hiversports Luxembourg	Nicolas Osseland	Natascha Devisch	NA	18	Oberstdorf (GER), Pralognan (FRA)	8	Luxembourg, Kockelscheuer	http://www.isuresults.com/bios/isufs00006273.htm	Jil	KLINCKER
Fleur MAXWELL	LUX	1988-08-05	Dudelange	158	Luxembourg	full-time athlete	dancing, music, travel, cooking, fashion	1998	Cercle de Patinage Remich	Irina Karotom, Igor Lukanin, Vitali Danilchenko	Igor Lukanin, Kristen Fraser, Irina Karotom	Katia Gentelet, V. Gusmeroli, P. Trente, G. Ancelet, E. Evtuschenko A. Riccitelli	24	Little Falls/USA	24	Little Falls/USA, Kockelscheuer	http://www.isuresults.com/bios/isufs00006066.htm	Fleur	MAXWELL
Chloe VILLEDEY	LUX	1998-01-20	Tokyo JPN	162	Bertrange	pupil	sports	2008	Club Hiversport Patinage Luxembourg	Cornelia Paquier	Sorina Mladin	NA	30	Anglet and Metz/FRA	12	Luxembourg	http://www.isuresults.com/bios/isufs00014907.htm	Chloe	VILLEDEY
Mara WAGNER	LUX	1998-03-15	Dudelange	164	Dudelange	high school student	figure skating, cheerleading, movies, reading, friends	2003	Club Hiversport Luxembourg	Cornelia Paquier, Pierre Pageot	Adam Solya	Nicolas Osseland	11	Oberstdorf/GER, Amneville, Metz/FRA	16	Kockelscheuer	http://www.isuresults.com/bios/isufs00015007.htm	Mara	WAGNER
Amirah Azfariena AZHARI	MAS	1999-03-10	Kuala Lumpur	161	Coralville USA	student	reading, travelling, baking, photography	2005	Ice Skating Association of Malaysia	Eugene Heffron, Tanya Street-Burgess	Army Blades	Sergei Boroda	33	Coralville/USA	33	Coralville/USA	http://www.isuresults.com/bios/isufs00034511.htm	Amirah Azfariena	AZHARI
Siau Chian CHING	MAS	1993-03-07	Kuala Lumpur	160	Subang Jaya	student	reading, dancing, skating	2000	NA	Jenny Lee, Jamal Othman	Chrishna Grossard	Ihdy Wong	7	Bandar Sunway	NA	NA	http://www.isuresults.com/bios/isufs00013199.htm	Siau Chian	CHING
Rachel Jia En LEONG	MAS	1999-03-23	Selangor	170	NA	high school student	NA	NA	NA	no information	no information	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00054607.htm	Rachel Jia En	LEONG
Aneeta LINGAM	MAS	2000-11-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00054609.htm	Aneeta	LINGAM
Aina Sorfina MOHD AMINUDDIN	MAS	1999-03-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00054608.htm	Aina Sorfina MOHD	AMINUDDIN
Jia Xin NG	MAS	1998-05-02	Singapore SIN	162	Kuala Lumpur	student	dancing, music, reading, skating	2008	Ice Skating Association of Malaysia	Alzarudin Bin Idrus	Chrisha Gossard, Cheng Wei Chia	NA	29	Selangor	28	Selangor	http://www.isuresults.com/bios/isufs00034512.htm	Jia Xin	NG
Raya M. WILLOUGHBY	MAS	1995-10-20	Kuala Lumpur	153	Leesburg USA	student	dance, poetry, photography	2002	NA	Ross Lansel	Carissa Tambaschi	Sergei Kuznetsov, Patricia Denise Cahill	22	Reston/USA	19	Reston/USA	http://www.isuresults.com/bios/isufs00012750.htm	Raya M.	WILLOUGHBY
Priscila ALAVEZ	MEX	1992-09-12	Mexico	168	Mexico	student	basketball, computer, dancing	2001	Asociacion del Distrito Federal	Michael Hopfes	Nina Petrenko	Georgina Torres Ruiz	20	Wayne/USA	16	Cuatitlan Izcalli	http://www.isuresults.com/bios/isufs00010730.htm	Priscila	ALAVEZ
Corenne BRUHNS	MEX	1991-01-31	Naperville USA	170	Wayne USA	student	dancing, music	1997	NA	Galina Zmievskaia, Viktor Petrenko	Nina Petrenko	Meil Rubin	23	Wayne USA	24	Wayne USA	http://www.isuresults.com/bios/isufs00009565.htm	Corenne	BRUHNS
Ana Cecilia CANTU	MEX	1985-09-14	Monterrey	160	San Pedro	athlete, student (law)	extreme sports, running, reading	1992	Asociacion de Nuevo Leon	Vladimir Petrenko	David Wilson, Elena Petrenko, M. Hiro	Erika and Edgar Beckley,Galina Zmievskaya, Richard O'Neill	38	Toronto/CAN	38	Monterrey	http://www.isuresults.com/bios/isufs00005655.htm	Ana Cecilia	CANTU
Michele CANTU	MEX	1988-06-24	Monterrey	159	Monterrey	student, accounting	basketball, May Thai	1992	Asociacion de Nuevo Leon	Richard O'Neill	David Wilson (SP), Michele Cantu (FS)	Edgar Beckley, Erika Beckley	31	Toronto/CAN	24	Monterrey	http://www.isuresults.com/bios/isufs00006569.htm	Michele	CANTU
Susana CANTU	MEX	1993-03-12	San Pedro	152	Monterrey	student	reading, music	1999	NA	Nilda Nancy Garcia	NA	NA	21	Boston, USA	24	Monterrey	http://www.isuresults.com/bios/isufs00011262.htm	Susana	CANTU
Fabiola CARABALLO	MEX	1989-12-26	Mexico City	161	Mexico City	student	music, travelling, dancing	1996	Distrito Federal	Elena Loboda	Ruth Trevino	Ricardo Olavarrieta	20	Mexico City	35	Mexico City	http://www.isuresults.com/bios/isufs00007053.htm	Fabiola	CARABALLO
Marijose CAVAZOS	MEX	1996-09-05	Monterrey	155	Monterrey	student	listening to music, watching movies	2002	Ice Complex Monterrey	Denisse Jaramillo	Denisse Jaramillo	NA	37	Monterrey, Simsbury/USA	28	Monterrey	http://www.isuresults.com/bios/isufs00034517.htm	Marijose	CAVAZOS
Franciela DABDOUB	MEX	1989-07-15	Monterrey	162	San Pedro	student	reading, dance, movies	1995	SC Nuevo Leon	Richard O'Neal	David Wilson	Edgar Beckley, Doris Beckley	30	Toronto CAN	27	Monterrey	http://www.isuresults.com/bios/isufs00009781.htm	Franciela	DABDOUB
Sofia DEL RIO	MEX	2001-01-21	Miami USA	151	Miami USA	high school student	skating, reading, science fiction	2010	Pines Ice Arena	no informationq	no information	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00054658.htm	Sofia DEL	RIO
Maria Fernanda DIAZ VALLE	MEX	1989-02-06	Guadalajara	154	Guadalajara	student	yoga, reading	1999	ASOC Jalisco	Zaida Mirthala Lopez	NA	Alesandro Chavez	23	Guadalajara	38	Guadalajara	http://www.isuresults.com/bios/isufs00008009.htm	Maria Fernanda DIAZ	VALLE
Alexandra ELIZONDO	MEX	1993-12-21	Monterrey	160	Monterrey	student	dancing, watching movies	2000	Asociacion Patinaje Estado Nuevo Leon	Mariana Palma	Edgar Beckley	NA	30	Simsbury and Dallas USA	21	Monterrey	http://www.isuresults.com/bios/isufs00010691.htm	Alexandra	ELIZONDO
Itzel GAITAN	MEX	1995-07-16	Guadalajara	160	Zapopan	student, athlete	singing, dancing, movies	2006	Asociacion Jalisco	Elvis Stojko, Humberto Contreras, Gladys Orozco	Gladys Orozco	Yulia Mospan, Sibylle Gasser, Karen Murphy	27	Flims/SUI, Richmond Hill/CAN	30	Guadalajara, Mexico City	http://www.isuresults.com/bios/isufs00014203.htm	Itzel	GAITAN
Helena GARCIA	MEX	1985-03-23	Mexico City	160	Los Angeles, CA, USA	Student	music, computers, travelling	NA	NA	Ada Minevich	Elena Tcherkasskaia, Irina Yelchin	Wendy Boyland	38	Los Angeles, USA	40	Sylmar, USA	http://www.isuresults.com/bios/isufs00004953.htm	Helena	GARCIA
Loretta HAMUI	MEX	1990-08-05	Mexico City	155	Wesley Chapel USA	student	computer, music, reading	1994	Estado de Mexico	Tonia and Andrei Berekhovski, Pierre Trente	Tonia Berekhovskaia	Wendy Boyle	29	Kissimmee/USA	21	Champigny/FRA, Kissimmee/USA	http://www.isuresults.com/bios/isufs00008335.htm	Loretta	HAMUI
Reyna HAMUI	MEX	1993-12-28	Mexico City	157	Canton USA	athlete	golf, watching sports, cooking	1996	Asociacion del Estado de Mexico	Johnny Johns, Massimo Scali, M. Zueva, O. Epstein	Massimo Scali	J. Dungjen, Y. Sato, P. Hill, T. Berekhovskaia, A. Berekhvski, W. Boyle	27	Canton/USA	20	Canton/USA	http://www.isuresults.com/bios/isufs00010699.htm	Reyna	HAMUI
Emily NAPHTAL	MEX	1989-04-20	Skokie, IL, USA	160	Weston, MA, USA	student	singing, reading, dancing	1991	IPN Mexico City	Suna Murray, Eduard Pliner	Marina Zueva, Ryan Hunks	NA	32	Weston USA	36	Weston USA	http://www.isuresults.com/bios/isufs00006570.htm	Emily	NAPHTAL
Gladys OROZCO	MEX	1983-04-15	Monterrey	166	Monterrey	Student	dance, reading, writing	1988	La Pista San Jeronimo	Valeri Lesnov	NA	Barbara Burguete, Eduardo Burguete	22	Mexico City	30	Mexico City	http://www.isuresults.com/bios/isufs00003460.htm	Gladys	OROZCO
Michelle QUINTERO	MEX	1994-10-09	Mexico City	173	Mexico City	student	painting, ballet, dancing, figure skating	2000	Asociacon del Distrito Federal	Julia Chelenkova	Julia Chelenkova	T. Nikolaitcheva, E. Sheglova	42	Mexico City	42	Mexico City	http://www.isuresults.com/bios/isufs00012454.htm	Michelle	QUINTERO
Mary Ro REYES	MEX	1992-01-04	Puebla	162	Puebla	student	travelling, photography, movies	1998	Asociacion de Deportes Invernales de Puebla	Michael Hopfes, Dmitri Zaitsev	Nina Petrenko	Galina Zmievskaia	20	Wayne/USA	16	Cuautitlan	http://www.isuresults.com/bios/isufs00010577.htm	Mary Ro	REYES
Silvia Marcela RODRIGUEZ	MEX	1985-05-29	Monterrey	157	Monterrey	student	music, reading, dance, parties	1990	Deportivo San Agustin	Elena Gouliakova	Elena Gouliakova	David Lowery, Doris Beckley	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00003461.htm	Silvia Marcela	RODRIGUEZ
Regina Andrea RODRIGUEZ LEAL	MEX	1998-09-18	Monterrey	165	Monterrey	student	playing the piano, basketball, reading, spending time with friends	2003	Figure Skating Association of Nuevo Leon	Silvia Marcela Rodriguez Leal	Douglas Razzano (FS)	NA	28	Monterrey	38	Monterrey	http://www.isuresults.com/bios/isufs00015009.htm	Regina Andrea RODRIGUEZ	LEAL
Aislin ROSADO	MEX	1993-12-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00011531.htm	Aislin	ROSADO
Ingrid ROTH	MEX	1983-10-09	Mexico City	160	Mexico City	Student	music, travelling, reading	1991	Asociacion Estado de Mexico	Ricardo Olavarrieta	Ricardo Olavarrieta	Jose Sanchez Zambrano, Gabriela Montanue	45	Simsbury, USA	40	Mexico City	http://www.isuresults.com/bios/isufs00004558.htm	Ingrid	ROTH
Arantax Fernanda SACARO RIVERA	MEX	1996-05-09	Monterrey	165	Monterrey	college student	NA	2002	Figure Skating Association of Nuevo Leon	Gabriela Juarez	Svetlana Moore	NA	22	Connecticut/USA	26	Monterrey	http://www.isuresults.com/bios/isufs00054501.htm	Arantax Fernanda SACARO	RIVERA
Rocio SALAS	MEX	1978-10-03	Mexico City	160	Mexico City	Athlete	photography, dance	1989	Pabellon Bosques	Julie Graham, Nicole Laurin	Dima K.	Jose Sanchez	40	Marlboro, USA	40	Marlboro, USA	http://www.isuresults.com/bios/isufs00003190.htm	Rocio	SALAS
Mattia SEGOVIA	MEX	1990-10-04	Monterrey	153	Monterrey	student	drawing	1998	Ice Training Center Monterrey	Barbara Burguete	Paloma Rojas	NA	15	Monterrey	25	Monterrey	http://www.isuresults.com/bios/isufs00008010.htm	Mattia	SEGOVIA
Barbara VILLARREAL	MEX	1992-04-01	Monterrey	156	Monterrey	student	reading, cooking, running	1996	Asociacion Deportes Invernales	Richard O'Neill	Masin Thomas, Paloma Rojas	Barbara Burguete	27	Toronto CAN	33	Monterrey	http://www.isuresults.com/bios/isufs00010701.htm	Barbara	VILLARREAL
Anna GORDIENKO	MDA	2001-09-23	Tiraspol	155	Tiraspol	pupil	drawing	2010	Sneginka Tiraspol	Valentina Mynzat	Valentina Mynzat	NA	18	Odessa/UKR	NA	Tiraspol	http://www.isuresults.com/bios/isufs00035020.htm	Anna	GORDIENKO
Alexandra DE HANOVRE	MON	1999-07-20	Voecklabruck AUT	169	Monaco	student	friends, dancing, watching movies	2010	SC of Monaco	Didier Lucine, Claudie Lucine	Camille Pradier	NA	20	Annecy/FRA	26	Annecy/FRA	http://www.isuresults.com/bios/isufs00034984.htm	Alexandra DE	HANOVRE
Merovee EPHREM	MON	1990-02-07	Carpentras FRA	169	Monaco	student	movies, reading, cooking	1996	Avignon	Didier Lucine, Claudine Lucine, Sophie Golaz	Aurelie Foucher	Sophie Biscroma	24	Chambery and Annecy/FRA	22	Annecy/FRA	http://www.isuresults.com/bios/isufs00009348.htm	Merovee	EPHREM
Aurore PREMONT	MON	1986-08-15	Monaco	160	Monaco	NA	movies	NA	NA	Rafael Aruturian	NA	NA	7	Lake Arrowhead (USA)	7	Lake Arrowhead	http://www.isuresults.com/bios/isufs00007679.htm	Aurore	PREMONT
Maral-Erdene GANSUKH	MGL	1996-05-25	Ulaanbaatar	166	Nagoya JPN	high school student	music, movies, yoga	2005	Orion FSC	Sachiko Kozuka, Sachie Yamaguchi	Utako Wakamatsu	Hiroshi Nagakubo, Yoriko Kikegawa	20	Nagoya/JPN	22	Nagoya/JPN	http://www.isuresults.com/bios/isufs00013197.htm	Maral-Erdene	GANSUKH
Sonja MUGOSA	MNE	1989-04-12	Paris FRA	166	Cravent FRA	student	gymnastics, dance, cinema	1998	Courbevoie	Patrice Paillaires	Audrey Bauxirat	Michel Lotz	20	Pralognan/FRA	22	Courbevoie/FRA	http://www.isuresults.com/bios/isufs00008726.htm	Sonja	MUGOSA
Yasmina ELHARIM	MAR	2000-06-12	Rabat	164	Rabat	pupil	swimming, music, travelling	2008	SC Mega Mall Rabat	Nicolas Salicis	NA	NA	6	Rabat	6	Rabat	http://www.isuresults.com/bios/isufs00014926.htm	Yasmina	ELHARIM
Karen GHEBBARI	MAR	2000-06-22	Valence FRA	164	Colmar FRA	pupil	swimming, shopping, travelling	2004	Cparc Colmar	Xavier Dias	Sandra Garde, Xavier Dias	Ludovic Roux	20	Colmar/FRA	25	Colmar/FRA	http://www.isuresults.com/bios/isufs00035154.htm	Karen	GHEBBARI
Joelle BASTIAANS	NED	1986-01-31	The Hague	166	Zoetermeer	student	music	1991	Ijsvogels Zoetermeer	Corrie Broweleit	Terry Banghart	NA	21	Zoetermeer	19	Zoetermeer	http://www.isuresults.com/bios/isufs00005475.htm	Joelle	BASTIAANS
Kim BELL	NED	1994-11-05	Eindhoven	170	Eindhoven	NA	reading, skiing, shopping	2000	BKV Den Bosch	Carine Herrygers	Sandy Suy	Willy van Veen	18	Eindhoven, Turnhout	18	Eindhoven, Turnhout/BEL	http://www.isuresults.com/bios/isufs00011771.htm	Kim	BELL
Michelle COUWENBERG	NED	1993-05-07	Netersel	164	Netersel	NA	dancing, music, her chihuahua Pequeno	2000	MSB Breda	Jolanda Franken	Susan Mason	Susan Mason	20	Breda, Eindhoven, Dordrecht, Den Haag, Jaca/ESP	20	Breda, Eindhoven, Dordrecht, Den Haag	http://www.isuresults.com/bios/isufs00009421.htm	Michelle	COUWENBERG
Christel de HAAN	NED	1992-01-09	Zwijndrecht	164	Zwijndrecht	student	streetdancing, friends	1998	AIJC Alkmaar	Marcus Deen	Sandra Sch�r	Astrid Winkelmann	20	Zoetermeer	21	Zoetermeer	http://www.isuresults.com/bios/isufs00008410.htm	Christel de	HAAN
Joyce DEN HOLLANDER	NED	1993-11-16	Gouda	161	Waddinxveen	athlete	horses	1997	VTK Alphen aan den Rijn	Corrie Broweleit	Susan Kramer	NA	20	Zoetermeer	20	Zoetermeer	http://www.isuresults.com/bios/isufs00010726.htm	Joyce DEN	HOLLANDER
Manouk GIJSMAN	NED	1992-09-29	Leiderdorp	159	Alphen aan den Rijn	student (economy, sports management)	skiing, reading, movies, shopping	2000	VTK Alphen aan den Rijn	Zsolt Kerekes	Sandy Suy	Corrie Broweleit	25	Zoetermeer	25	Zoetermeer	http://www.isuresults.com/bios/isufs00009422.htm	Manouk	GIJSMAN
Eva LIM	NED	1992-07-10	Changsha CHN	156	Mol BEL	student	shopping, being with friends, reading	1999	BKV Den Bosch	Riittaa Bakker	Maria McLean	Willy van Veen, Hana Naaktgeboren	25	Fort Myers USA	14	Eindhoven, Den Bosch	http://www.isuresults.com/bios/isufs00009136.htm	Eva	LIM
Mila MORELISSEN	NED	1996-05-26	Bogota COL	169	S-Hertogenbosch	student	sports, shopping, dancing	2002	BVK 's-Hertogenbosch	Thierry Cerez	Susanne Cerez	Susan Kraan-Akkerman	17	s-Hertogenbosch	13	s-Hertogenbosch, Tilburg	http://www.isuresults.com/bios/isufs00011526.htm	Mila	MORELISSEN
Claire MUYSELAAR	NED	1985-11-21	Leidschedam	164	Zoetermeer	student	figure skating, dancing, shopping	1989	YVZ Zoetermeer	Willy van Veen	Sandra Sch�r	NA	18	Zoetermeer	18	Zoetermeer	http://www.isuresults.com/bios/isufs00005476.htm	Claire	MUYSELAAR
Angelika NAAKTGEBOREN	NED	1986-04-01	Prague (CZE)	162	Berlioum	student	reading, drawing, playing tennis	1989	BKV Den Bosch	Hana Naaktgeboren, Willy van Veen	NA	NA	17	Den Bosch	17	Den Bosch	http://www.isuresults.com/bios/isufs00005167.htm	Angelika	NAAKTGEBOREN
Sharon RESSELER	NED	1988-10-22	Naarden	161	Naarden	student	figure skating, ballet, football, dancing	1994	YVZ Zoetermeer	Corrie Broweleit	Sandra Schär, Maia Usova	NA	21	Zoetemeer	21	Zoetemeer	http://www.isuresults.com/bios/isufs00007370.htm	Sharon	RESSELER
Kim VAN BERGENHENEGOUWEN	NED	1987-03-12	Naaldwijk	169	Naaldwijk	student	shopping, going out, movies	1995	HIJH Den Haag	Corry Broweleit	Maia Usova, Sandra Sch�r	Marcus Deen	19	Zoetermeer	19	Zoetermeer	http://www.isuresults.com/bios/isufs00006923.htm	Kim VAN	BERGENHENEGOUWEN
Kyarha VAN TIEL	NED	2000-05-17	Rotterdam	150	Rotterdam	high school student	music, movies	2006	FSA Amsterdam	Kevin van der Perren, J. McCorkell, J. Blanchard	Julie Marcotte	Astrid Tameling-Winkelman, Nathalie Oogjen	28	Dordrecht	22	Liederkerke/BEL	http://www.isuresults.com/bios/isufs00034661.htm	Kyarha VAN	TIEL
Nathalie van UFFELEN	NED	1992-05-25	Zoetermeer	165	Zoetermeer	Student	dancing, shopping, running	1997	YVZ Zoetermeer	Astrid Winkelman, Andras Saraz	Klara Engi	NA	23	Zoetermeer NED, Budapest HUN, Landskrona SWE	25	Zoetermeer and Dordrecht NED	http://www.isuresults.com/bios/isufs00007368.htm	Nathalie van	UFFELEN
Kyra VANCRAYELYNGHE	NED	1989-12-15	S-Hertogenbosch	165	La Varenne-St. Hilaire FRA	student	skating, dancing, ballet, shopping	NA	NA	Annick Dumont, Pierre Trente	Pieter Eggenhuizen	Michael Huth, Corrie Broweleit, Willy van Veen	18	Courchevel FRA	15	Champigny FRA	http://www.isuresults.com/bios/isufs00006922.htm	Kyra	VANCRAYELYNGHE
Karen VENHUIZEN	NED	1984-04-04	Zoetermeer	172	Heerenveen	student	dance, fitness, reading, sports, music	1989	NA	Sylvia Holtes	Sylvia Holtes, Karen Venhuizen	NA	23	NA	23	Heerenveen and Zoetermeer	http://www.isuresults.com/bios/isufs00003928.htm	Karen	VENHUIZEN
Jacqueline VOLL	NED	1987-10-18	Dordrecht	157	Hendrik Ido Ambacht	student	skating. dancing, shopping	1996	DDD Dordecht	Astrid Winkelmann, Andras Szaraz	Klara Engi, Anneke Ypelaar	NA	22	Zoetermeer	22	Dordrecht, Zoetermeer	http://www.isuresults.com/bios/isufs00007502.htm	Jacqueline	VOLL
Daisy VREENEGOOR	NED	1997-12-20	Amsterdam	160	Monnickendam	student	figure skating	2004	Ekijsa Amsterdam	Susan Mason	Susan Mason	J. Mangs	15	Hoorn, Dordrecht	20	Amsterdam, Alkmaar	http://www.isuresults.com/bios/isufs00014299.htm	Daisy	VREENEGOOR
Niki WORIES	NED	1996-06-18	Almere	167	Almere, St. Julie CAN	student	acting, singing, dancing	2001	EPJM St. Julie	Bruno Marcotte	Julie Marcotte	Astrid Tameling-Winkelman, Sylvia Holtes, Andras Szaraz	26	St. Juliel/CAN	21	St. Juliel/CAN	http://www.isuresults.com/bios/isufs00010682.htm	Niki	WORIES
Martine ZUIDERWIJK	NED	1984-02-11	Naaldwijk	164	Barrie, CAN	student	fitness	1989	HIJH The Hague	Douglas Leigh, Robert Tebby, Willy van Veen	Steven Cousins, Carloine Masse	NA	20	Barries CAN	15	Barrie CAN	http://www.isuresults.com/bios/isufs00003681.htm	Martine	ZUIDERWIJK
Dirke O�Brien BAKER	NZL	1983-08-04	Whangarei, NZL	167	Port Deposit, MD, USA	student	cooking, theatre, outdoor sports	1987	Auckland FSC	Tracey Canill Poletis	Jeri Cambell	Brian Kader	6	Newark, Delawere, USA	6	Newark, Delawere, USA	http://www.isuresults.com/bios/isufs00004751.htm	Dirke O�Brien	BAKER
Tracy DANBROOK	NZL	1997-11-18	Durban RSA	168	Auckland	college student	reading	2005	Auckland IFSC	Caitlin Haynes	Caitlin Haynes, Debbie Darvill	NA	14	Auckland	14	Auckland	http://www.isuresults.com/bios/isufs00014581.htm	Tracy	DANBROOK
Morgan FIGGINS	NZL	1992-03-29	Auckland	162	Dunedin	student	swimming, beach	1998	Dunedin SC	Fanis Shakirizianu	Fanis Shakirizianu	Deanne Pielak-Jones	20	Dunedin	20	Dunedin	http://www.isuresults.com/bios/isufs00007446.htm	Morgan	FIGGINS
Preeya LAUD	NZL	1997-02-25	Auckland	154	Auckland	college student	baking, reading	2000	West Auckland SC	Michael Pasfield, Slava Kuznetsov	Ludmila Kuznetsova	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00014746.htm	Preeya	LAUD
Sarah MACGIBBON	NZL	1995-07-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00013667.htm	Sarah	MACGIBBON
Madelaine PARKER	NZL	1995-09-11	Christchurch	162	Christchurch	student	NA	2004	Centaurus ISC	Kylie Fennell, Monica MacDonald, Gloria Pracey	Monica MacDonald	Kim Lewis	11	Sydney/AUS	11	Sydney/AUS	http://www.isuresults.com/bios/isufs00013046.htm	Madelaine	PARKER
Alexandra ROUT	NZL	1993-08-06	Auckland	149	Auckland	student	reading, running, fishing	2009	Glenburn	Viacheslav Kuznetsov	NA	Mike Aldred, Marina Kudriavtseva	20	Auckland	20	Auckland	http://www.isuresults.com/bios/isufs00009990.htm	Alexandra	ROUT
Brooke TAMEPO	NZL	1998-04-12	New Zealand	170	Auckland	student	reading, writing, watching TV	2006	West Auckland ISC	Rosie Armstrong	Rosie Armstrong	NA	16	Auckland	16	Auckland	http://www.isuresults.com/bios/isufs00054539.htm	Brooke	TAMEPO
Juni Marie BENJAMINSEN	NOR	1999-03-21	Oslo	160	Oslo	student	NA	2004	Oslo SC	Alexander Smokvin	Kumiko Hayakawa	NA	28	Oberstdorf/GER, Oslo, Richmond/USA	17	Oslo	http://www.isuresults.com/bios/isufs00034575.htm	Juni Marie	BENJAMINSEN
Madeleine DALENG	NOR	1986-05-30	Oslo	164	Oslo	student	dancing, singing, aerobics	1989	Oslo Idrettslag	Susanne Lindholm	Susanne Seger	NA	18	Lidkjoping SWE, Lillehammer NOR	11	Oslo	http://www.isuresults.com/bios/isufs00004489.htm	Madeleine	DALENG
Anne Line GJERSEM	NOR	1994-01-06	Honefoss	158	Malmö SWE	student (civil engineering)	dancing	2002	Asker FSC	Ela Magnusson, Laco Vince	Michael Huth (SP), Catarina Lindgren (FS)	Janusz Komendera	30	Oberstdorf/GER, Malmö/SWE	22	Malmö/SWE	http://www.isuresults.com/bios/isufs00011169.htm	Anne Line	GJERSEM
Camilla GJERSEM	NOR	1994-01-06	Honefoss	158	Asker	student (law)	NA	2002	Asker FSC	Berit Steigendal	Rostislav Sinicyn, Kaja Hanevold	Kaja Hanevold	33	Oberstdorf/GER, Jar	25	Asker	http://www.isuresults.com/bios/isufs00011701.htm	Camilla	GJERSEM
Kaja HANEVOLD	NOR	1980-05-15	Asker	175	Asker	Student	jazz dance, inline-skating	1987	Asker Kunstlopklubb	Berit Steigedal, Tom Zakarajsek	Katharina Lindgren	NA	24	Colorado Springs, USA	17	Asker	http://www.isuresults.com/bios/isufs00000013.htm	Kaja	HANEVOLD
Erle HARSTAD	NOR	1990-08-06	Baerum	165	Asker	student	being with friends, training	1996	Asker Kunstlopklubb	Berit Steigedal	Kaja Hanevold	NA	31	Oberstdorf/GER, Tonsberg NOR	29	Asker	http://www.isuresults.com/bios/isufs00007405.htm	Erle	HARSTAD
Sine Marie LEITE	NOR	1997-10-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00014231.htm	Sine Marie	LEITE
Madeleine LINDHOLM TORGERSEN	NOR	1999-07-16	Oslo	180	Baerum	student	tennis, shopping, friends	2004	Oslo SC	Susanne Lindholm Torgersen	Kaja Hanevold	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00015169.htm	Madeleine LINDHOLM	TORGERSEN
Caroline NILSEN	NOR	1988-12-28	Oslo	162	Oslo	NA	reading, friends	NA	NA	Susanne Lidholm	Susanne Lidholm, Hanna Gr�deuik	NA	26	Tyringe (SWE), Lillehammer (NOR)	NA	Oslo	http://www.isuresults.com/bios/isufs00007104.htm	Caroline	NILSEN
